Graph,Gurobi's results,L2A result,My results,Binary Vector
powerlaw100_ID1,285,282,285,1001111110001111100111110100010011010010101000010001101000000000100000011111010100001111000110111000
powerlaw100_ID8,282,282,282,1000100111111111011011111011001111111000000000001000100001100000101101011001111101010100111011001010
powerlaw100_ID9,286,280,284,1010111000000100000101000011000000010111101111011110110111100001000100010000101000111010000111110000
powerlaw100_ID11,282,282,283,0101001111110101001111110011011100010110111010011000111011110000000000101110100000001111100001000010
powerlaw100_ID12,283,283,284,0100101010010111111011100100000110001011001111011101010100111111110011100000000111101110111001000110
powerlaw100_ID13,282,282,282,0110100100000000010100010000111010000010101100100000000011100011111111010111010010111010100100111001
powerlaw100_ID20,285,285,285,0110000110001111000000110111000111101101000101100011011111001110000000110000000100110010101000001111
powerlaw100_ID24,282,282,282,1001011110111111011100100011010101100111110011011110001110110000000010011110010011000010101100101101
powerlaw100_ID27,284,284,285,0101001111110101011101110110110110001111110111101111011111000001000001010001110001110000010100110001
powerlaw100_ID28,285,285,286,1010101000000000100000110001100010011000111011001000001111111111111101100000101000111111000111100010
powerlaw200_ID0,581,579,580,10011010011001010111110110111100110111110111011100100111110100101011011100110001100111011010111100111111100001010100000000000100000010011110101111110000101110101101000000100011110010101010110010001100
powerlaw200_ID8,576,576,574,01010101110111011011111111010111010010101101001110111111001110011011110011011100101101010100000100000101100001001001001001010100100000010000110001011111010000000001000111101011000000001000001000101010
powerlaw200_ID20,581,582,580,01101000010001010000001101111100101000000000000001100101110011111111100111111011111111101101011001001011000100001010010111011111111110000101111110100011111010011111101101010011010000000000111101000000
powerlaw300_ID20,882,876,879,101010100001111110110000100110000010100001010000000010101001010010000001100110101000100100000010111000010000000000001010011011110111001111100100100000000000110101001011011111111101000001000101010001101000000001110011011100111111000111110011111111001000111100001000101111010101100111111111000110011111
powerlaw300_ID15,873,856,857,10101001000100011010100010001000000010000000000011010001101100000100100100100110000010100000000000001010001101110010000010010000011001011011111111111111111101111011011100001101111111111110100100100111
powerlaw_400_ID0,1170,1082,1167,0101110001111110010111101101111111110110110111000010010101111011001110111110100010111110100010011100010000011000000110000010000110010100111000110011011100011011000001100000000101000001101111111010111111111111110001101101000010010000011011101010011011111110100101111011110011111111111101100100000010001000010111000011111100000001000000001011010000010000010110000011101111110111110010011111111011100111
powerlaw_500_ID0,1473,1370,1449,01000000011011011001100001000110011101110010100100110111110111010110001011011111111100111111111010010101100111110111010101000000010111010101110001111011111001100100011101001001101001110111011100110111010001111011110001001101000100010000001001001011101111110011111111011111111000101000101010111110110101000010001010110101100110011011100111111000100010000111101111011010011010001111011101000101000010100000100111001001010100110000001000101111010001100001011000110001011000111100010000000101001000111010